ColorCode,BlockName
#BABEC5FF,しっくいのかべ
#699B7EFF,しっくいのかべ (緑)
#9E8E66FF,しっくいのかべ (オレンジ)
#6880ABFF,しっくいのかべ (紺色)
#CDAA8CFF,ポケセンのかべ・まんなか
#6E8697FF,ふるびたいしゆか
#ABA292FF,ざらざらかべ
#3F7861FF,タイルカーペット (緑)
#8E6187FF,タイルカーペット (ピンク)
#824C5CFF,タイルカーペット (赤)
#7C9AB5FF,いしのゆか (青)
#A39367FF,いしのゆか (オレンジ)
#5A7697FF,シンプルなゆか (紺色)
#47689CFF,タイルカーペット (青)
#847984FF,タイルカーペット (灰色)
#878EA3FF,いしのゆか (空色)
#BFBED2FF,シンプルなゆか
#41528DFF,タイルカーペット (紺色)
#9899A5FF,いしのゆか (白)
#2876A0FF,シンプルなゆか (水色)
#B37C93FF,シンプルなゆか (桃色)
#938F8DFF,いしのゆか (灰色)
#877299FF,いしのゆか (深紫)
#794695FF,シンプルなゆか (紫)
#7286B0FF,シンプルなゆか (空色)
#83A0B8FF,しっくいのかべ (水色)
#6B82ADFF,いしのゆか (紺色)
#2E9790FF,シンプルなゆか (青緑)
#7B9049FF,シンプルなゆか (黄緑)
#585366FF,てつのタイル (灰色)
#6F3E3FFF,てつのタイル (オレンジ)
#755387FF,タイルカーペット (紫)
#548181FF,タイルカーペット (青緑)
#955664FF,レンガ
#AC9942FF,シンプルなゆか (黄色)
#51336EFF,てつのタイル (紫)
#353059FF,てつのタイル (深紫)
#66799FFF,タイルカーペット (水色)
#8F6254FF,タイルカーペット (オレンジ)
#92909BFF,タイルカーペット (白)
#816F97FF,しっくいのかべ (深紫)
#B1A378FF,しっくいのかべ (黄色)
#87A4BBFF,いしのゆか (水色)
#AB81A7FF,いしのゆか (ピンク)
#25874CFF,シンプルなゆか (緑)
#828AA1FF,しっくいのかべ (空色)
#797B8DFF,いしのゆか (黒)
#9889AAFF,いしのゆか (紫)
#8F9B7FFF,いしのゆか (黄緑)
#294C92FF,シンプルなゆか (青)
#B25C92FF,シンプルなゆか (ピンク)
#08103BFF,てつのタイル (黒)
#56507AFF,タイルカーペット (深紫)
#6E8360FF,タイルカーペット (黄緑)
#749A98FF,しっくいのかべ (青緑)
#2D304EFF,シンプルなゆか (黒)
#8F9172FF,たたみ
#686C93FF,タイルカーペット
#B5A77AFF,いしのゆか (黄色)
#28306AFF,てつのタイル (青)
#49536DFF,てつのタイル (紺色)
#908B8BFF,しっくいのかべ (灰色)
#A67CA4FF,しっくいのかべ (ピンク)
#316967FF,てつのタイル (青緑)
#725341FF,てつのタイル (黄色)
#706B6FFF,シンプルなゆか (灰色)
#779E9AFF,いしのゆか (青緑)
#8A5B7BFF,てつのタイル (桃色)
#642B3CFF,てつのタイル (赤)
#9586A7FF,しっくいのかべ (紫)
#423574FF,シンプルなゆか (深紫)
#2A4E88FF,てつのタイル (水色)
#82446FFF,てつのタイル (ピンク)
#4D5A4BFF,てつのタイル (黄緑)
#7897B2FF,しっくいのかべ (青)
#A8797DFF,しっくいのかべ (赤)
#BBB4AAFF,うみべのすな
#B05F48FF,シンプルなゆか (オレンジ)
#4A5E7EFF,てつのタイル (空色)
#56566AFF,タイルカーペット (黒)
#6B7790FF,タイルカーペット (空色)
#8C997EFF,しっくいのかべ (黄緑)
#7C8585FF,いしのゆか
#AE7D80FF,いしのゆか (赤)
#823045FF,シンプルなゆか (赤)
#205B47FF,てつのタイル (緑)
#9495AEFF,うちっぱなしのカベ
#937786FF,タイルカーペット (桃色)
#876E54FF,タイルカーペット (黄色)
#75778BFF,しっくいのかべ (黒)
#6EA080FF,いしのゆか (緑)
#AD8EA4FF,しっくいのかべ (桃色)
